,type,description,support_material,subtype,filler_loading,previous_thickness,mean_thickness,mean_pore_size,pore_volume,specific_surface_area,aging,surface_area,temperature,feed_pressure,permeate_pressure,delta_pressure,feed_flow_rate,sweep_gas,sweep_gas_flow,stage_cut,x_He,Py_He,Pe_He,x_H2,Py_H2,Pe_H2,x_CO2,Py_CO2,Pe_CO2,x_O2,Py_O2,Pe_O2,x_H2S,Py_H2S,Pe_H2S,x_N2,Py_N2,Pe_N2,x_CO,Py_CO,Pe_CO,x_CH4,Py_CH4,Pe_CH4,x_C2H6,Py_C2H6,Pe_C2H6,x_SF6,Py_SF6,Pe_SF6,provided_data_type,in_reference_data_location,reference,url
937,zeolite,counter-diffusion modified,alfa-alumina disks,ZSM-5,0.0,,7.0,0.58,,,0.0,,673.0,300000.0,100000.0,200000.0,100.0,N2,12.0,,1.0,2181.7059768265,1.04298187765342e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,permeance,fig 7,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
938,zeolite,counter-diffusion modified,alfa-alumina disks,ZSM-5,0.0,,7.0,0.58,,,0.0,,573.0,300000.0,100000.0,200000.0,100.0,N2,12.0,,1.0,2401.99267303767,1.14829168313445e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,permeance,fig 7,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
939,zeolite,counter-diffusion modified,alfa-alumina disks,ZSM-5,0.0,,7.0,0.58,,,0.0,,473.0,300000.0,100000.0,200000.0,100.0,N2,12.0,,1.0,2842.35767752037,1.35881167258615e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,permeance,fig 7,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
940,zeolite,counter-diffusion modified,alfa-alumina disks,ZSM-5,0.0,,7.0,0.58,,,0.0,,373.0,300000.0,100000.0,200000.0,100.0,N2,12.0,,1.0,3167.20458137244,1.51410731614595e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,permeance,fig 7,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
941,zeolite,counter-diffusion modified,alfa-alumina disks,ZSM-5,0.0,,7.0,0.58,,,0.0,,323.0,300000.0,100000.0,200000.0,100.0,N2,12.0,,1.0,3323.25636644305,1.58870911195753e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,permeance,fig 7,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
957,zeolite,one-side modified,alfa-alumina disks,ZSM-5,0.0,,7.0,0.58,,,0.0,,773.0,300000.0,100000.0,200000.0,100.0,N2,12.0,,1.0,1153.40777235958,5.5139575034098e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,permeance,fig 10,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
958,zeolite,one-side modified,alfa-alumina disks,ZSM-5,0.0,,7.0,0.58,,,0.0,,673.0,300000.0,100000.0,200000.0,100.0,N2,12.0,,1.0,1078.23786959631,5.15460181038876e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,permeance,fig 10,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
959,zeolite,one-side modified,alfa-alumina disks,ZSM-5,0.0,,7.0,0.58,,,0.0,,573.0,300000.0,100000.0,200000.0,100.0,N2,12.0,,1.0,974.567988158288,4.65899970475757e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,permeance,fig 10,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
960,zeolite,one-side modified,alfa-alumina disks,ZSM-5,0.0,,7.0,0.58,,,0.0,,473.0,300000.0,100000.0,200000.0,100.0,N2,12.0,,1.0,832.75923774264,3.98107170553497e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,permeance,fig 10,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
961,zeolite,one-side modified,alfa-alumina disks,ZSM-5,0.0,,7.0,0.58,,,0.0,,373.0,300000.0,100000.0,200000.0,100.0,N2,12.0,,1.0,650.43272825438,3.10944533959967e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,permeance,fig 10,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
