,type,description,support_material,subtype,filler_loading,previous_thickness,mean_thickness,mean_pore_size,pore_volume,specific_surface_area,surface_area,temperature,feed_pressure,permeate_pressure,delta_pressure,feed_flow_rate,sweep_gas,sweep_gas_flow,stage_cut,aging,gas,Py,provided_data_type,in_reference_data_location,reference,url
337,1,52,1,4,0.0,,110.0,0.38,,759.0,2.14,298.0,,,100000.0,,0,,,63.94775,330.0,5860.396,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
338,1,52,1,4,0.0,,110.0,0.38,,759.0,2.14,298.0,,,100000.0,,0,,,346.5819,330.0,3592.615,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
339,1,54,1,4,0.0,,110.9054,0.38,,759.0,2.14,298.0,,,100000.0,,0,,,2.796417,330.0,7080.521,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
340,1,54,1,4,0.0,,110.9054,0.38,,759.0,2.14,298.0,,,100000.0,,0,,,27.83942,330.0,5469.404,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
341,1,54,1,4,0.0,,110.9054,0.38,,759.0,2.14,298.0,,,100000.0,,0,,,135.5311,330.0,4026.747,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
342,1,55,1,4,0.0,,132.508,0.38,,759.0,2.14,298.0,,,100000.0,,0,,,3.998911,330.0,5949.026,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
343,1,55,1,4,0.0,,132.508,0.38,,759.0,2.14,298.0,,,100000.0,,0,,,29.37387,330.0,5275.877,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
344,1,55,1,4,0.0,,132.508,0.38,,759.0,2.14,298.0,,,100000.0,,0,,,116.4178,330.0,4807.037,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
408,1,27,5,7,0.0,,55.0,1.2,,,,308.0,,,480000.0,,0,,1.0,0.0,330.0,816.303667484013,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
409,1,27,5,7,0.0,,55.0,1.2,,,,308.0,,,970000.0,,0,,1.0,0.0,330.0,741.178685940364,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
410,1,27,5,7,0.0,,55.0,1.2,,,,308.0,,,1460000.0,,0,,1.0,0.0,330.0,751.976648524515,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
411,1,27,5,7,0.0,,55.0,1.2,,,,308.0,,,1940000.0,,0,,1.0,0.0,330.0,814.835048859605,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
412,1,27,5,7,0.0,,55.0,1.2,,,,308.0,,,2430000.0,,0,,1.0,0.0,330.0,895.317445560763,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
413,1,27,5,7,0.0,,55.0,1.2,,,,308.0,,,2930000.0,,0,,1.0,0.0,330.0,999.260285209386,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
414,1,27,5,7,0.0,,55.0,1.2,,,,308.0,,,3400000.0,,0,,1.0,0.0,330.0,1104.18925436742,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
415,1,27,5,7,0.0,,55.0,1.2,,,,308.0,,,3900000.0,,0,,1.0,0.0,330.0,1206.46303645809,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
416,1,27,5,7,0.0,,55.0,1.2,,,,308.0,,,4390000.0,,0,,1.0,0.0,330.0,1298.18409905158,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
417,1,27,5,7,0.0,,55.0,1.2,,,,308.0,,,4870000.0,,0,,1.0,0.0,330.0,1380.39411513563,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
418,3,57,5,6,6.0,,55.0,1.2,,,,308.0,,,480000.0,,0,,1.0,0.0,330.0,942.910016241897,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
419,3,57,5,6,6.0,,55.0,1.2,,,,308.0,,,970000.0,,0,,1.0,0.0,330.0,880.343475124281,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
420,3,57,5,6,6.0,,55.0,1.2,,,,308.0,,,1460000.0,,0,,1.0,0.0,330.0,896.278260622352,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
421,3,57,5,6,6.0,,55.0,1.2,,,,308.0,,,1950000.0,,0,,1.0,0.0,330.0,952.935469618973,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
422,3,57,5,6,6.0,,55.0,1.2,,,,308.0,,,2450000.0,,0,,1.0,0.0,330.0,1023.84583365153,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
423,3,57,5,6,6.0,,55.0,1.2,,,,308.0,,,2920000.0,,0,,1.0,0.0,330.0,1108.63438934928,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
424,3,57,5,6,6.0,,55.0,1.2,,,,308.0,,,3420000.0,,0,,1.0,0.0,330.0,1191.78581528024,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
425,3,57,5,6,6.0,,55.0,1.2,,,,308.0,,,3900000.0,,0,,1.0,0.0,330.0,1272.82168787944,permeability,fig S5f,BACHMAN et al 2016,https://doi.org/10.1038/nmat4621
