,type,description,support_material,subtype,filler_loading,previous_thickness,mean_thickness,mean_pore_size,pore_volume,specific_surface_area,surface_area,temperature,feed_pressure,permeate_pressure,delta_pressure,feed_flow_rate,sweep_gas,sweep_gas_flow,stage_cut,aging,gas,Py,provided_data_type,in_reference_data_location,reference,url
712,3,88,1,17,20.0,,,1.12,,,,308.0,,,400000.0,,0,,,0.0,260.0,52.9061102831595,permeability,fig 8b,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
903,2,126,9,22,0.0,,7.0,0.58,,,,773.0,300000.0,100000.0,200000.0,100.0,364,12.0,,0.0,260.0,2678.47449640663,permeance,fig 4,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
904,2,126,9,22,0.0,,7.0,0.58,,,,673.0,300000.0,100000.0,200000.0,100.0,364,12.0,,0.0,260.0,2958.42687540929,permeance,fig 4,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
905,2,126,9,22,0.0,,7.0,0.58,,,,573.0,300000.0,100000.0,200000.0,100.0,364,12.0,,0.0,260.0,3067.08099831948,permeance,fig 4,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
906,2,126,9,22,0.0,,7.0,0.58,,,,473.0,300000.0,100000.0,200000.0,100.0,364,12.0,,0.0,260.0,3177.98369032813,permeance,fig 4,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
907,2,126,9,22,0.0,,7.0,0.58,,,,373.0,300000.0,100000.0,200000.0,100.0,364,12.0,,0.0,260.0,3238.08475332279,permeance,fig 4,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
908,2,126,9,22,0.0,,7.0,0.58,,,,298.0,300000.0,100000.0,200000.0,100.0,364,12.0,,0.0,260.0,3646.06794031446,permeance,fig 4,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
936,2,127,9,22,0.0,,7.0,0.58,,,,773.0,300000.0,100000.0,200000.0,100.0,364,12.0,,0.0,260.0,2104.41033038124,permeance,fig 7,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
937,2,127,9,22,0.0,,7.0,0.58,,,,673.0,300000.0,100000.0,200000.0,100.0,364,12.0,,0.0,260.0,2181.7059768265,permeance,fig 7,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
938,2,127,9,22,0.0,,7.0,0.58,,,,573.0,300000.0,100000.0,200000.0,100.0,364,12.0,,0.0,260.0,2401.99267303767,permeance,fig 7,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
