type;description;support_material;subtype;filler_loadind;previous_thickness;min_thickness;max_thickness;min_pore_size;max_pore_size;pore_volume;specific_surface_area;surface_area;temperature;feed_pressure;permeate_pressure;delta_pressure;feed_flow_rate;sweep_gas;sweep_gas_flow;stage_cut;aging;x_He;P_He;P_He;x_H2;P_H2;P_H2;x_CO2;P_CO2;P_CO2;x_O2;P_O2;P_O2;x_H2S;P_H2S;P_H2S;x_N2;P_N2;P_N2;x_CO;P_CO;P_CO;x_CH4;P_CH4;P_CH4;x_C2H6;P_C2H6;P_C2H6;x_SF6;P_SF6;P_SF6;provided_data_type ;in_reference_data_location;reference;url
polymeric;IPI-1.00;NaN;ionic copolyimides;none;none;40;60;NaN;NaN;NaN;41;NaN;308;200000;1000;199000;NaN;NaN;NaN;0.5;NaN;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;1;0.06;4.02E-13;none;none;none;none;none;none;none;none;none;none;none;none;permeability;table 2;XIE W et al 2022;https://doi.org/10.1016/j.seppur.2021.120091
polymeric;PI-0.25;NaN;polyimides;none;none;40;60;NaN;NaN;NaN;411;NaN;308;200000;1000;199000;NaN;NaN;NaN;0.5;NaN;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;1;6;4.02E-11;none;none;none;none;none;none;permeability;table 2;XIE W et al 2022;https://doi.org/10.1016/j.seppur.2021.120091
polymeric;PI-0.50;NaN;polyimides;none;none;40;60;NaN;NaN;NaN;219;NaN;308;200000;1000;199000;NaN;NaN;NaN;0.5;NaN;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;1;3;2.01E-11;none;none;none;none;none;none;permeability;table 2;XIE W et al 2022;https://doi.org/10.1016/j.seppur.2021.120091
polymeric;PI-0.75;NaN;polyimides;none;none;40;60;NaN;NaN;NaN;63;NaN;308;200000;1000;199000;NaN;NaN;NaN;0.5;NaN;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;1;1.5;1.00E-11;none;none;none;none;none;none;permeability;table 2;XIE W et al 2022;https://doi.org/10.1016/j.seppur.2021.120091
polymeric;PI-1.00;NaN;polyimides;none;none;40;60;NaN;NaN;NaN;53;NaN;308;200000;1000;199000;NaN;NaN;NaN;0.5;NaN;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;1;0.44;2.94E-12;none;none;none;none;none;none;permeability;table 2;XIE W et al 2022;https://doi.org/10.1016/j.seppur.2021.120091
polymeric;IPI-0.25;NaN;ionic copolyimides;none;none;40;60;NaN;NaN;NaN;367;NaN;308;200000;1000;199000;NaN;NaN;NaN;0.5;NaN;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;1;5.3;3.55E-11;none;none;none;none;none;none;permeability;table 2;XIE W et al 2022;https://doi.org/10.1016/j.seppur.2021.120091
polymeric;IPI-0.50;NaN;ionic copolyimides;none;none;40;60;NaN;NaN;NaN;83;NaN;308;200000;1000;199000;NaN;NaN;NaN;0.5;NaN;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;1;0.97;6.49E-12;none;none;none;none;none;none;permeability;table 2;XIE W et al 2022;https://doi.org/10.1016/j.seppur.2021.120091
polymeric;IPI-0.75;NaN;ionic copolyimides;none;none;40;60;NaN;NaN;NaN;56;NaN;308;200000;1000;199000;NaN;NaN;NaN;0.5;NaN;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;1;0.25;1.67E-12;none;none;none;none;none;none;permeability;table 2;XIE W et al 2022;https://doi.org/10.1016/j.seppur.2021.120091
polymeric;IPI-1.00;NaN;ionic copolyimides;none;none;40;60;NaN;NaN;NaN;41;NaN;308;200000;1000;199000;NaN;NaN;NaN;0.5;NaN;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;1;0.03;2.01E-13;none;none;none;none;none;none;permeability;table 2;XIE W et al 2022;https://doi.org/10.1016/j.seppur.2021.120091
polymeric;PI-0.25;NaN;polyimides;none;none;40;60;NaN;NaN;NaN;411;NaN;308;400000;1000;399000;NaN;NaN;NaN;0.5;NaN;none;none;none;none;none;none;0.5;132.9645941;8.90E-10;none;none;none;none;none;none;none;none;none;none;none;none;0.5;3.314285714;2.22E-11;none;none;none;none;none;none;permeability;fig 6;XIE W et al 2022;https://doi.org/10.1016/j.seppur.2021.120091
polymeric;PI-0.25;NaN;polyimides;none;none;40;60;NaN;NaN;NaN;411;NaN;308;1000000;1000;999000;NaN;NaN;NaN;0.5;NaN;none;none;none;none;none;none;0.5;133.0110164;8.90E-10;none;none;none;none;none;none;none;none;none;none;none;none;0.5;3.485714286;2.33E-11;none;none;none;none;none;none;permeability;fig 6;XIE W et al 2022;https://doi.org/10.1016/j.seppur.2021.120091
polymeric;PI-0.25;NaN;polyimides;none;none;40;60;NaN;NaN;NaN;411;NaN;308;2000000;1000;1999000;NaN;NaN;NaN;0.5;NaN;none;none;none;none;none;none;0.5;124.083058;8.30E-10;none;none;none;none;none;none;none;none;none;none;none;none;0.5;3.542857143;2.37E-11;none;none;none;none;none;none;permeability;fig 6;XIE W et al 2022;https://doi.org/10.1016/j.seppur.2021.120091
polymeric;PI-0.25;NaN;polyimides;none;none;40;60;NaN;NaN;NaN;411;NaN;308;3000000;1000;2999000;NaN;NaN;NaN;0.5;NaN;none;none;none;none;none;none;0.5;117.7136815;7.88E-10;none;none;none;none;none;none;none;none;none;none;none;none;0.5;3.771428571;2.52E-11;none;none;none;none;none;none;permeability;fig 6;XIE W et al 2022;https://doi.org/10.1016/j.seppur.2021.120091
polymeric;PI-0.25;NaN;polyimides;none;none;40;60;NaN;NaN;NaN;411;NaN;308;4000000;1000;3999000;NaN;NaN;NaN;0.5;NaN;none;none;none;none;none;none;0.5;115.2091727;7.71E-10;none;none;none;none;none;none;none;none;none;none;none;none;0.5;3.971428571;2.66E-11;none;none;none;none;none;none;permeability;fig 6;XIE W et al 2022;https://doi.org/10.1016/j.seppur.2021.120091
polymeric;PI-0.50;NaN;polyimides;none;none;40;60;NaN;NaN;NaN;219;NaN;308;400000;1000;399000;NaN;NaN;NaN;0.5;NaN;none;none;none;none;none;none;0.5;62.38333145;4.18E-10;none;none;none;none;none;none;none;none;none;none;none;none;0.5;0.971365639;6.50E-12;none;none;none;none;none;none;permeability;fig 6;XIE W et al 2022;https://doi.org/10.1016/j.seppur.2021.120091
polymeric;PI-0.50;NaN;polyimides;none;none;40;60;NaN;NaN;NaN;219;NaN;308;1000000;1000;999000;NaN;NaN;NaN;0.5;NaN;none;none;none;none;none;none;0.5;54.81228684;3.67E-10;none;none;none;none;none;none;none;none;none;none;none;none;0.5;1.146475771;7.67E-12;none;none;none;none;none;none;permeability;fig 6;XIE W et al 2022;https://doi.org/10.1016/j.seppur.2021.120091
polymeric;PI-0.50;NaN;polyimides;none;none;40;60;NaN;NaN;NaN;219;NaN;308;2000000;1000;1999000;NaN;NaN;NaN;0.5;NaN;none;none;none;none;none;none;0.5;53.89321287;3.61E-10;none;none;none;none;none;none;none;none;none;none;none;none;0.5;1.248898678;8.36E-12;none;none;none;none;none;none;permeability;fig 6;XIE W et al 2022;https://doi.org/10.1016/j.seppur.2021.120091
