,type,description,support_material,subtype,filler_loading,previous_thickness,mean_thickness,mean_pore_size,pore_volume,specific_surface_area,surface_area,temperature,feed_pressure,permeate_pressure,delta_pressure,feed_flow_rate,sweep_gas,sweep_gas_flow,stage_cut,aging,x_He,Py_He,Pe_He,x_H2,Py_H2,Pe_H2,x_CO2,Py_CO2,Pe_CO2,x_O2,Py_O2,Pe_O2,x_H2S,Py_H2S,Pe_H2S,x_N2,Py_N2,Pe_N2,x_CO,Py_CO,Pe_CO,x_CH4,Py_CH4,Pe_CH4,x_C2H6,Py_C2H6,Pe_C2H6,x_SF6,Py_SF6,Pe_SF6,provided_data_type,in_reference_data_location,reference,url
45,1,2,1,1,0.0,,50.0,,,219.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,2.00784337242192e-11,,,,,,,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
46,1,3,1,1,0.0,,50.0,,,63.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.5,1.00392168621096e-11,,,,,,,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
47,1,4,1,1,0.0,,50.0,,,53.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,1.0,0.44,2.94483694621881e-12,,,,,,,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
48,1,5,1,2,0.0,,50.0,,,367.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,1.0,5.3,3.54718995794539e-11,,,,,,,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
49,1,6,1,2,0.0,,50.0,,,83.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,1.0,0.97,6.4920269041642e-12,,,,,,,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
50,1,7,1,2,0.0,,50.0,,,56.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,1.0,0.25,1.6732028103516e-12,,,,,,,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
51,1,8,1,2,0.0,,50.0,,,41.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,1.0,0.03,2.00784337242192e-13,,,,,,,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
52,1,1,1,1,0.0,,50.0,,,411.0,,308.0,400000.0,1000.0,399000.0,,0,,0.5,0.0,,,,,,,0.5,132.964594114857,8.89906930200953e-10,,,,,,,,,,,,,0.5,3.31428571428571,2.2181888685804e-11,,,,,,,permeability,fig 6,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
53,1,1,1,1,0.0,,50.0,,,411.0,,308.0,1000000.0,1000.0,999000.0,,0,,0.5,0.0,,,,,,,0.5,133.011016444628,8.90217626091496e-10,,,,,,,,,,,,,0.5,3.48571428571428,2.33292277557594e-11,,,,,,,permeability,fig 6,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
54,1,1,1,1,0.0,,50.0,,,411.0,,308.0,2000000.0,1000.0,1999000.0,,0,,0.5,0.0,,,,,,,0.5,124.083058044808,8.30464485750372e-10,,,,,,,,,,,,,0.5,3.54285714285714,2.37116741124112e-11,,,,,,,permeability,fig 6,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
