,type,description,support_material,subtype,filler_loading,previous_thickness,mean_thickness,mean_pore_size,pore_volume,specific_surface_area,aging,surface_area,temperature,feed_pressure,permeate_pressure,delta_pressure,feed_flow_rate,sweep_gas,sweep_gas_flow,stage_cut,Py_He,Pe_He,Py_H2,Pe_H2,Py_CO2,Pe_CO2,Py_O2,Pe_O2,Py_H2S,Pe_H2S,Py_N2,Pe_N2,Py_CO,Pe_CO,Py_CH4,Pe_CH4,Py_C2H6,Pe_C2H6,Py_SF6,Pe_SF6,provided_data_type,in_reference_data_location,reference,url
676,3,89,1,17,20.0,,,1.05,,,0.0,,308.0,,,500000.0,,0,,,47.3,,,,,,,,,,,,,,0.21,,,,,,permeability,table 3,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
677,3,89,1,17,30.0,,,1.05,,,0.0,,308.0,,,500000.0,,0,,,51.8,,,,,,,,,,,,,,0.21,,,,,,permeability,table 3,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
678,3,89,1,17,35.0,,,1.05,,,0.0,,308.0,,,500000.0,,0,,,55.1,,,,,,,,,,,,,,0.25,,,,,,permeability,table 3,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
689,3,89,1,17,30.0,,,1.05,,,0.0,,318.0,,,500000.0,,0,,,54.2274052478136,,,,,,,,,,,,,,0.214904679376084,,,,,,permeability,fig 6a,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
690,3,89,1,17,30.0,,,1.05,,,0.0,,328.0,,,500000.0,,0,,,58.1632653061227,,,,,,,,,,,,,,0.233743409490335,,,,,,permeability,fig 6a,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
691,3,89,1,17,30.0,,,1.05,,,0.0,,338.0,,,500000.0,,0,,,66.0349854227409,,,,,,,,,,,,,,0.271095152603234,,,,,,permeability,fig 6a,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
695,3,88,1,17,20.0,,,1.12,,,0.0,,318.0,,,500000.0,,0,,,52.4553571428571,,,,,,,,,,,,,,0.248239436619719,,,,,,permeability,fig 6b,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
696,3,88,1,17,20.0,,,1.12,,,0.0,,328.0,,,500000.0,,0,,,55.0595238095237,,,,,,,,,,,,,,0.267148014440433,,,,,,permeability,fig 6b,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
697,3,88,1,17,20.0,,,1.12,,,0.0,,338.0,,,500000.0,,0,,,58.0357142857143,,,,,,,,,,,,,,0.288888888888889,,,,,,permeability,fig 6b,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
701,3,89,1,17,30.0,,,1.05,,,0.0,,308.0,,,100000.0,,0,,,59.8240469208211,,,,,,,,,,,,,,0.259047619047619,,,,,,permeability,fig 8a,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
702,3,89,1,17,30.0,,,1.05,,,0.0,,308.0,,,200000.0,,0,,,58.9442815249266,,,,,,,,,,,,,,0.245421245421246,,,,,,permeability,fig 8a,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
703,3,89,1,17,30.0,,,1.05,,,0.0,,308.0,,,300000.0,,0,,,58.0645161290322,,,,,,,,,,,,,,0.235714285714285,,,,,,permeability,fig 8a,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
704,3,89,1,17,30.0,,,1.05,,,0.0,,308.0,,,400000.0,,0,,,52.7859237536656,,,,,,,,,,,,,,0.209424083769634,,,,,,permeability,fig 8a,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
709,3,88,1,17,20.0,,,1.12,,,0.0,,308.0,,,100000.0,,0,,,59.9850968703428,,,,,,,,,,,,,,0.31630648330059,,,,,,permeability,fig 8b,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
710,3,88,1,17,20.0,,,1.12,,,0.0,,308.0,,,200000.0,,0,,,60.7302533532042,,,,,,,,,,,,,,0.309297912713473,,,,,,permeability,fig 8b,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
711,3,88,1,17,20.0,,,1.12,,,0.0,,308.0,,,300000.0,,0,,,57.3770491803279,,,,,,,,,,,,,,0.280510018214937,,,,,,permeability,fig 8b,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
712,3,88,1,17,20.0,,,1.12,,,0.0,,308.0,,,400000.0,,0,,,52.9061102831595,,,,,,,,,,,,,,0.250883392226149,,,,,,permeability,fig 8b,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
903,2,126,9,22,0.0,,7.0,0.58,,,0.0,,773.0,300000.0,100000.0,200000.0,100.0,364,12.0,,2678.47449640663,1.28046601566933e-07,2623.54822362934,1.25420807453416e-07,589.738859680705,2.81929347826086e-08,,,,,,,717.634034069291,3.43070652173912e-08,,,,,,,permeance,fig 4,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
904,2,126,9,22,0.0,,7.0,0.58,,,0.0,,673.0,300000.0,100000.0,200000.0,100.0,364,12.0,,2958.42687540929,1.41429947490129e-07,2875.02331781974,1.37442774148639e-07,525.791272486413,2.51358695652174e-08,,,,,,,781.581621263585,3.73641304347825e-08,,,,,,,permeance,fig 4,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
905,2,126,9,22,0.0,,7.0,0.58,,,0.0,,573.0,300000.0,100000.0,200000.0,100.0,364,12.0,,3067.08099831948,1.46624244170404e-07,3214.64764750309,1.53678785088352e-07,667.897021807064,3.19293478260869e-08,,,,,,,852.634495923911,4.07608695652173e-08,,,,,,,permeance,fig 4,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
906,2,126,9,22,0.0,,7.0,0.58,,,0.0,,473.0,300000.0,100000.0,200000.0,100.0,364,12.0,,3177.98369032813,1.51926035483102e-07,3676.94745972611,1.7577939494654e-07,859.739783389946,4.11005434782609e-08,,,,,,,945.003232982335,4.51766304347825e-08,,,,,171.440317749385,8.19584061330977e-09,permeance,fig 4,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
907,2,126,9,22,0.0,,7.0,0.58,,,0.0,,373.0,300000.0,100000.0,200000.0,100.0,364,12.0,,3238.08475332279,1.54799214554753e-07,4642.91205954108,2.2195810017827e-07,1172.37243189538,5.60461956521738e-08,,,,,,,1207.89886922554,5.77445652173912e-08,,,,,156.130547722463,7.4639448923131e-09,permeance,fig 4,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
908,2,126,9,22,0.0,,7.0,0.58,,,0.0,,298.0,300000.0,100000.0,200000.0,100.0,364,12.0,,3646.06794031446,1.74303174984772e-07,5070.41270681934,2.42395108305502e-07,1811.84830383831,8.66168478260869e-08,,,,,,,1335.79404361413,6.38586956521739e-08,,,,,109.534190324807,5.23636900231584e-09,permeance,fig 4,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
936,2,127,9,22,0.0,,7.0,0.58,,,0.0,,773.0,300000.0,100000.0,200000.0,100.0,364,12.0,,2104.41033038124,1.00603007969338e-07,2686.03830385576,1.284081953921e-07,,,,,,,,,440.838230118605,2.10746218727107e-08,,,,,,,permeance,fig 7,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
937,2,127,9,22,0.0,,7.0,0.58,,,0.0,,673.0,300000.0,100000.0,200000.0,100.0,364,12.0,,2181.7059768265,1.04298187765342e-07,2943.1132252052,1.4069786627418e-07,,,,,,,,,430.363455463722,2.05738669472721e-08,,,,,,,permeance,fig 7,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
938,2,127,9,22,0.0,,7.0,0.58,,,0.0,,573.0,300000.0,100000.0,200000.0,100.0,364,12.0,,2401.99267303767,1.14829168313445e-07,3096.35657429833,1.48023786341903e-07,,,,,,,,,446.170839136111,2.13295514839849e-08,,,,,,,permeance,fig 7,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
939,2,127,9,22,0.0,,7.0,0.58,,,0.0,,473.0,300000.0,100000.0,200000.0,100.0,364,12.0,,2842.35767752037,1.35881167258615e-07,3578.63117460869,1.71079306816203e-07,,,,,,,,,485.349634637772,2.32025249336869e-08,,,,,13.009276384431,6.2191879448773e-10,permeance,fig 7,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
940,2,127,9,22,0.0,,7.0,0.58,,,0.0,,373.0,300000.0,100000.0,200000.0,100.0,364,12.0,,3167.20458137244,1.51410731614595e-07,4210.38371369875,2.01280738926267e-07,,,,,,,,,503.176677786005,2.40547608964264e-08,,,,,7.13110013250878,3.40907908074638e-10,permeance,fig 7,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
941,2,127,9,22,0.0,,7.0,0.58,,,0.0,,323.0,300000.0,100000.0,200000.0,100.0,364,12.0,,3323.25636644305,1.58870911195753e-07,4503.73973862389,2.15304856793076e-07,,,,,,,,,515.423680277707,2.46402385817835e-08,,,,,2.96452754746282,1.41721594965129e-10,permeance,fig 7,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
957,2,128,9,22,0.0,,7.0,0.58,,,0.0,,773.0,300000.0,100000.0,200000.0,100.0,364,12.0,,1153.40777235958,5.5139575034098e-08,848.173433034467,4.05476049091095e-08,,,,,,,,,5.02350991610763,2.4015288312744e-10,,,,,,,permeance,fig 10,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
958,2,128,9,22,0.0,,7.0,0.58,,,0.0,,673.0,300000.0,100000.0,200000.0,100.0,364,12.0,,1078.23786959631,5.15460181038876e-08,751.533506072439,3.59276564123941e-08,,,,,,,,,3.9236493719408,1.87573175884732e-10,,,,,,,permeance,fig 10,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
959,2,128,9,22,0.0,,7.0,0.58,,,0.0,,573.0,300000.0,100000.0,200000.0,100.0,364,12.0,,974.567988158288,4.65899970475757e-08,646.431342423989,3.09031639669478e-08,,,,,,,,,3.06459520355838,1.46505408776683e-10,,,,,,,permeance,fig 10,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
960,2,128,9,22,0.0,,7.0,0.58,,,0.0,,473.0,300000.0,100000.0,200000.0,100.0,364,12.0,,832.75923774264,3.98107170553497e-08,527.456475398785,2.52154759135827e-08,,,,,,,,,,,,,,,,,permeance,fig 10,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
961,2,128,9,22,0.0,,7.0,0.58,,,0.0,,373.0,300000.0,100000.0,200000.0,100.0,364,12.0,,650.43272825438,3.10944533959967e-08,375.77003004585,1.79639848662463e-08,,,,,,,,,,,,,,,,,permeance,fig 10,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
962,2,128,9,22,0.0,,7.0,0.58,,,0.0,,323.0,300000.0,100000.0,200000.0,100.0,364,12.0,,562.066564976668,2.68700387463894e-08,305.445972703393,1.4602087426797e-08,,,,,,,,,,,,,,,,,permeance,fig 10,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
104,2,21,2,3,0.0,,1.2,0.38,0.27,624.0,0.0,,298.0,303000.0,103000.0,200000.0,4.0,0,,,,,16584.7164760642,4.62493236943917e-06,23546.8531750975,6.56644348458492e-06,,,,,3251.95274411765,9.06862745098039e-07,,,197.753883088236,5.51470588235297e-08,61.6546252952298,1.71934487191922e-08,23.6741718693191,6.6019484840819e-09,permeance,fig 7,LI Y et al 2021,https://doi.org/10.1016/j.memsci.2021.119349
345,1,51,1,4,0.0,,90.0,,,685.0,4.006265,2.14,298.0,,,100000.0,,0,,,,,1794.516,6.6724204764909e-09,,,,,,,,,,,,,,,,,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
346,1,51,1,4,0.0,,90.0,,,685.0,118.6763,2.14,298.0,,,100000.0,,0,,,,,2088.031,7.7637763051139e-09,,,,,,,,,,,,,,,,,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
347,1,51,1,4,0.0,,90.0,,,685.0,248.4868,2.14,298.0,,,100000.0,,0,,,,,2171.911,8.07566130896344e-09,,,,,,,,,,,,,,,,,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
348,1,52,1,4,0.0,,110.0,,,759.0,7.004888,2.14,298.0,,,100000.0,,0,,,,,3792.69,1.15380719396225e-08,,,,,,,,,,,,,,,,,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
