,type,description,support_material,subtype,filler_loading,previous_thickness,mean_thickness,mean_pore_size,pore_volume,specific_surface_area,aging,surface_area,temperature,feed_pressure,permeate_pressure,delta_pressure,feed_flow_rate,sweep_gas,sweep_gas_flow,stage_cut,gas,Py,provided_data_type,in_reference_data_location,reference,url
689,MMM,Cu-BDC/Matrimid5218,none,MOF/glassy,30.0,,50.0,1.05,,69.5,0.0,,318.0,,,500000.0,,0,,,260.0,54.2274052478136,permeability,fig 6a,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
690,MMM,Cu-BDC/Matrimid5218,none,MOF/glassy,30.0,,50.0,1.05,,69.5,0.0,,328.0,,,500000.0,,0,,,260.0,58.1632653061227,permeability,fig 6a,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
691,MMM,Cu-BDC/Matrimid5218,none,MOF/glassy,30.0,,50.0,1.05,,69.5,0.0,,338.0,,,500000.0,,0,,,260.0,66.0349854227409,permeability,fig 6a,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
695,MMM,Cu-BTC/Matrimid5218,none,MOF/glassy,20.0,,50.0,1.12,,69.5,0.0,,318.0,,,500000.0,,0,,,260.0,52.4553571428571,permeability,fig 6b,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
696,MMM,Cu-BTC/Matrimid5218,none,MOF/glassy,20.0,,50.0,1.12,,69.5,0.0,,328.0,,,500000.0,,0,,,260.0,55.0595238095237,permeability,fig 6b,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
697,MMM,Cu-BTC/Matrimid5218,none,MOF/glassy,20.0,,50.0,1.12,,69.5,0.0,,338.0,,,500000.0,,0,,,260.0,58.0357142857143,permeability,fig 6b,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
701,MMM,Cu-BDC/Matrimid5218,none,MOF/glassy,30.0,,50.0,1.05,,69.5,0.0,,308.0,,,100000.0,,0,,,260.0,59.8240469208211,permeability,fig 8a,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
702,MMM,Cu-BDC/Matrimid5218,none,MOF/glassy,30.0,,50.0,1.05,,69.5,0.0,,308.0,,,200000.0,,0,,,260.0,58.9442815249266,permeability,fig 8a,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
703,MMM,Cu-BDC/Matrimid5218,none,MOF/glassy,30.0,,50.0,1.05,,69.5,0.0,,308.0,,,300000.0,,0,,,260.0,58.0645161290322,permeability,fig 8a,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
704,MMM,Cu-BDC/Matrimid5218,none,MOF/glassy,30.0,,50.0,1.05,,69.5,0.0,,308.0,,,400000.0,,0,,,260.0,52.7859237536656,permeability,fig 8a,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
709,MMM,Cu-BTC/Matrimid5218,none,MOF/glassy,20.0,,50.0,1.12,,69.5,0.0,,308.0,,,100000.0,,0,,,260.0,59.9850968703428,permeability,fig 8b,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
710,MMM,Cu-BTC/Matrimid5218,none,MOF/glassy,20.0,,50.0,1.12,,69.5,0.0,,308.0,,,200000.0,,0,,,260.0,60.7302533532042,permeability,fig 8b,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
711,MMM,Cu-BTC/Matrimid5218,none,MOF/glassy,20.0,,50.0,1.12,,69.5,0.0,,308.0,,,300000.0,,0,,,260.0,57.3770491803279,permeability,fig 8b,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
712,MMM,Cu-BTC/Matrimid5218,none,MOF/glassy,20.0,,50.0,1.12,,69.5,0.0,,308.0,,,400000.0,,0,,,260.0,52.9061102831595,permeability,fig 8b,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
903,zeolite,unmodified MFI-type,alfa-alumina disks,ZSM-5,0.0,,7.0,0.58,,87.99999999999994,0.0,,773.0,300000.0,100000.0,200000.0,100.0,364,12.0,,260.0,2678.47449640663,permeance,fig 4,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
904,zeolite,unmodified MFI-type,alfa-alumina disks,ZSM-5,0.0,,7.0,0.58,,87.99999999999994,0.0,,673.0,300000.0,100000.0,200000.0,100.0,364,12.0,,260.0,2958.42687540929,permeance,fig 4,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
905,zeolite,unmodified MFI-type,alfa-alumina disks,ZSM-5,0.0,,7.0,0.58,,87.99999999999994,0.0,,573.0,300000.0,100000.0,200000.0,100.0,364,12.0,,260.0,3067.08099831948,permeance,fig 4,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
906,zeolite,unmodified MFI-type,alfa-alumina disks,ZSM-5,0.0,,7.0,0.58,,87.99999999999994,0.0,,473.0,300000.0,100000.0,200000.0,100.0,364,12.0,,260.0,3177.98369032813,permeance,fig 4,KANEZASHI M and LI YS 2009,https://doi.org/10.1021/jp804586q
